#Insert size (bp)	insert size
488.0	131735.0
489.0	130107.0
490.0	129026.0
491.0	127777.0
492.0	126438.0
493.0	125387.0
494.0	124277.0
495.0	123567.0
496.0	122659.0
497.0	121373.0
498.0	120316.0
499.0	119183.0
500.0	117130.0
501.0	117249.0
502.0	115479.0
503.0	115181.0
504.0	114301.0
505.0	112513.0
506.0	111529.0
507.0	111280.0
508.0	109418.0
509.0	109655.0
510.0	107767.0
511.0	107366.0
512.0	105718.0
513.0	105272.0
514.0	104377.0
515.0	103343.0
516.0	102282.0
517.0	101636.0
518.0	101148.0
519.0	99322.0
520.0	98777.0
521.0	97856.0
522.0	96462.0
523.0	96180.0
524.0	95345.0
525.0	94262.0
526.0	93729.0
527.0	92295.0
528.0	91289.0
529.0	90360.0
530.0	88872.0
531.0	87539.0
532.0	86361.0
533.0	85049.0
534.0	84559.0
535.0	83021.0
536.0	82678.0
537.0	82167.0
538.0	81469.0
539.0	80621.0
540.0	79394.0
541.0	78997.0
542.0	78190.0
543.0	77602.0
544.0	76047.0
545.0	76672.0
546.0	75444.0
547.0	74798.0
548.0	74413.0
549.0	73847.0
550.0	73002.0
551.0	72353.0
552.0	71776.0
553.0	70358.0
554.0	71002.0
555.0	69743.0
556.0	69198.0
557.0	68581.0
558.0	68062.0
559.0	67625.0
560.0	66767.0
561.0	66163.0
562.0	65409.0
563.0	65212.0
564.0	64603.0
565.0	63820.0
566.0	63207.0
567.0	62997.0
568.0	62234.0
569.0	61555.0
570.0	60841.0
571.0	60341.0
572.0	59543.0
573.0	58829.0
574.0	58734.0
575.0	57838.0
576.0	57528.0
577.0	56697.0
578.0	56266.0
579.0	55569.0
580.0	54849.0
581.0	53272.0
582.0	52673.0
583.0	52123.0
584.0	51410.0
585.0	50962.0
586.0	50759.0
587.0	50085.0
588.0	49257.0
589.0	49419.0
590.0	48897.0
591.0	48780.0
592.0	47904.0
593.0	47763.0
594.0	46861.0
595.0	47032.0
596.0	46631.0
597.0	46019.0
598.0	44832.0
599.0	44853.0
600.0	44602.0
601.0	44122.0
602.0	43979.0
603.0	43682.0
604.0	43194.0
605.0	42332.0
606.0	42205.0
607.0	42371.0
608.0	41779.0
609.0	41310.0
610.0	40610.0
611.0	40444.0
612.0	40207.0
613.0	39848.0
614.0	39650.0
615.0	38639.0
616.0	38132.0
617.0	38226.0
618.0	37860.0
619.0	37374.0
620.0	37147.0
621.0	36933.0
622.0	35865.0
623.0	35728.0
624.0	35109.0
625.0	34401.0
626.0	33508.0
627.0	33317.0
628.0	33166.0
629.0	32587.0
630.0	32516.0
631.0	32235.0
632.0	31439.0
633.0	31244.0
634.0	31278.0
635.0	31008.0
636.0	30606.0
637.0	30389.0
638.0	30213.0
639.0	30059.0
640.0	29498.0
641.0	29117.0
642.0	29172.0
643.0	28959.0
644.0	28373.0
645.0	28281.0
646.0	28054.0
647.0	27556.0
648.0	27157.0
649.0	27417.0
650.0	27070.0
651.0	26833.0
652.0	26638.0
653.0	26159.0
654.0	25975.0
655.0	25553.0
656.0	25316.0
657.0	25090.0
658.0	24618.0
659.0	24701.0
660.0	24133.0
661.0	24213.0
662.0	23928.0
663.0	23603.0
664.0	23204.0
665.0	22746.0
666.0	22233.0
667.0	22005.0
668.0	21961.0
669.0	21532.0
670.0	21391.0
671.0	21235.0
672.0	20910.0
673.0	20850.0
674.0	20436.0
675.0	20483.0
676.0	20050.0
677.0	20218.0
678.0	19672.0
679.0	19821.0
680.0	19419.0
681.0	19390.0
682.0	19117.0
683.0	18880.0
684.0	18648.0
685.0	18578.0
686.0	18519.0
687.0	18364.0
688.0	17578.0
689.0	17906.0
690.0	17968.0
691.0	17382.0
692.0	17268.0
693.0	17303.0
694.0	16531.0
695.0	16470.0
696.0	16473.0
