#Position (bp)	insert size	chromosomes
4.037378005E8	3749.364896764518	0.0
4.089473205E8	6003.377147620214	0.0
4.141568405E8	6961.13535717049	664084.2824987323
4.193663605E8	5033.88379173596	0.0
4.245758805E8	4846.693030273079	0.0
4.297854005E8	5029.998658387293	664084.2824987323
4.349949205E8	2089.3009432414233	0.0
4.402044405E8	3197.8875717486726	0.0
4.454139605E8	1697.6594427134526	664084.2824987323
4.506234805E8	2547.34549739869	0.0
4.558330005E8	1754.0033156452994	0.0
4.610425205E8	560.4049300099374	664084.2824987323
4.64330184E8	279.9496500824038	0.0
4.66934944E8	450202.1337372433	0.0
4.714615605E8	450707.0782262037	664084.2824987323
4.766710805E8	399423.1356874659	0.0
4.818806005E8	323650.56378918927	0.0
4.870901205E8	323090.9459210598	664084.2824987323
4.922996405E8	342314.8981302297	0.0
4.975091605E8	206514.0116435578	0.0
5.027186805E8	251249.26896416777	664084.2824987323
5.079282005E8	227600.23015957515	0.0
5.131377205E8	255349.0800510765	0.0
5.183472405E8	218433.38677309096	664084.2824987323
5.235567605E8	154389.57240466247	0.0
5.287662805E8	100476.65033909763	0.0
5.339758005E8	97946.68996736438	664084.2824987323
5.391853205E8	139625.52499988783	0.0
5.443948405E8	105720.4564870883	0.0
5.496043605E8	116880.97882169463	664084.2824987323
5.548138805E8	116345.52763261028	0.0
5.600234005E8	89716.45349689967	0.0
5.652329205E8	92207.29181825949	664084.2824987323
5.704424405E8	76249.82778029736	0.0
5.756519605E8	78206.5517408147	0.0
5.808614805E8	47349.14821333848	664084.2824987323
5.860710005E8	60908.94640440842	0.0
5.912805205E8	47406.63497097746	0.0
5.964900405E8	61068.248240728884	664084.2824987323
6.016995605E8	80430.4965432874	0.0
6.069090805E8	68038.20942869545	0.0
6.121186005E8	83099.27985658875	664084.2824987323
6.173281205E8	100671.28927744272	0.0
6.225376405E8	110133.25827899904	0.0
6.277471605E8	75808.06837923684	664084.2824987323
6.329566805E8	78708.74236684231	0.0
6.381662005E8	53698.760112506854	0.0
6.433757205E8	50979.2351713655	664084.2824987323
6.485852405E8	47740.95223004497	0.0
6.537947605E8	38570.23141696855	0.0
