#Position (bp)	Coverage	Std
5.652329205E8	34.028897671954425	24.343084760499735
5.704424405E8	34.3198477018996	24.67529297155834
5.756519605E8	37.68968177490441	22.543518617394675
5.808614805E8	37.45125481810224	55.63956548268022
5.860710005E8	43.92508407684393	50.53297168246912
5.912805205E8	41.45605833166971	69.77106808302179
5.964900405E8	38.51655354044134	27.54404566124947
6.016995605E8	33.365137287120504	26.851240676541593
6.069090805E8	38.037328007186844	26.042435494007826
6.121186005E8	31.570386331178305	24.79389102199626
6.173281205E8	31.38508039128365	24.67537212181949
6.225376405E8	30.68257305855434	25.081694810441054
6.277471605E8	41.70181897756415	46.05265355779588
6.329566805E8	33.85137171946744	24.69864884040593
6.381662005E8	30.598381616732443	26.893593573802825
6.433757205E8	32.61551851226216	29.094842152348654
6.485852405E8	32.40150416929007	25.10673823566547
6.537947605E8	32.081143752207495	22.256151209968884
6.590042805E8	32.452411930465765	24.508409453479498
6.642138005E8	30.447769660160628	23.09165936482285
6.694233205E8	32.23143610159861	24.162334347481597
6.746328405E8	32.29371919101952	24.83971814295894
6.798423605E8	30.795086879405396	24.95829126069338
6.850518805E8	33.199232366897526	24.11515312552165
6.902614005E8	32.91320851057295	24.792721123666926
6.954709205E8	28.451006042783213	24.828137834082007
7.006804405E8	32.35732850627313	23.107958942184545
7.058899605E8	33.007573058554335	26.24233913245657
7.110994805E8	32.48777200202706	23.44250647220058
7.163090005E8	31.707235791397288	23.286328073342954
7.215185205E8	34.414732259402015	25.037041961568722
7.267280405E8	32.920901925705245	24.542066781192965
7.319375605E8	27.532308542821603	23.19862482510569
7.371470805E8	27.27321672630108	21.271250698591857
7.423566005E8	25.55670810362567	22.804212403448066
7.475661205E8	28.689215513137487	23.358106820395772
7.527756405E8	27.483098250894518	22.95982303156028
7.579851605E8	28.624113929882217	23.851848719899944
7.631946805E8	29.78154877992598	26.40882237652978
7.684042005E8	29.116665450943657	22.55287952700695
7.736137205E8	27.285274459067246	21.605286263231815
7.788232405E8	27.635124349268263	24.35287403765617
7.840327605E8	25.730409135582548	23.086537095754192
7.892422805E8	27.42355188193922	22.593207977837785
7.93090927E8	30.814487093476775	30.33202210168342
7.95695687E8	31.989856147540532	27.540006083859847
7.996613205E8	27.806282152674335	204.10965798596166
8.048708405E8	27.16379436109277	24.84699110925017
8.100803605E8	26.552169873615995	33.696293403211456
8.152898805E8	28.229467014235478	27.09735861611367
8.204994005E8	29.144706997957584	21.95025799032713
8.257089205E8	28.731540333850337	24.090482206554146
8.309184405E8	35.0687203427571	23.6205925299923
8.361279605E8	32.69769710069258	25.805671160538026
8.413374805E8	33.90799555429291	27.12559336747692
8.465470005E8	33.778154033385036	30.299662580186673
8.517565205E8	34.21704917151676	26.866428584987577
8.569660405E8	33.46959489549901	39.03071789318459
8.621755605E8	31.66663819315407	25.23643119649883
8.673850805E8	30.65874533546277	27.350455868817413
8.725946005E8	36.585526113730246	27.590430868137755
8.778041205E8	30.509826625101738	28.13660643839611
8.830136405E8	30.317688769790692	28.3233139993044
8.882231605E8	29.56882937391545	26.636782153211247
8.934326805E8	34.541095148881276	26.044390987481606
8.986422005E8	33.30424146562447	23.847358301285848
9.038517205E8	29.74005263440778	25.614919932410153
9.090612405E8	34.36273015556136	25.688104907550194
9.142707605E8	28.13597605921467	25.758407702067608
9.194802805E8	30.14675305978286	27.762066009551422
9.246898005E8	36.88729556657811	23.799352111365884
9.298993205E8	36.64200790091986	23.477131407067514
9.351088405E8	34.285207466330874	36.29610629201824
9.403183605E8	27.004192900689507	27.476627702657975
9.455278805E8	39.70218196686067	23.72433278806239
9.507374005E8	44.00281542253413	21.829906569383724
9.559469205E8	43.258154686036335	22.99858351110461
9.611564405E8	43.13710668161366	21.388616745747548
9.663659605E8	44.97827304626914	30.851541556335217
9.715754805E8	35.875089643575606	24.06484606509278
9.767850005E8	40.36318912299022	24.69842714111222
9.819945205E8	42.03578026382469	20.517331970263516
9.872040405E8	43.62155688048035	25.89319264309117
9.924135605E8	42.99663500668008	25.383646110380422
9.976230805E8	40.96638346719084	26.141992369178286
1.0028326005E9	39.953644673597566	32.772908799075275
1.0080421205E9	40.72245408406149	36.59640635457358
1.0132516405E9	43.35968016247178	23.793885093678266
1.015976029E9	80.88902310068254	318.82876721960434
1.018580789E9	39.508921962479654	27.9956177389047
1.0236706805E9	40.80841574655631	23.136686595193723
1.0288802005E9	35.40077108831524	23.507229925250243
1.0340897205E9	36.778702260476976	24.70154811450827
1.0392992405E9	35.60065380303752	22.035688655915806
1.0445087605E9	34.85053306254703	22.695878744312488
1.0497182805E9	35.232897080729124	22.950889853516784
1.0549278005E9	38.12696409650025	26.036797639280344
1.0601373205E9	38.265463996682996	45.104716709969836
1.0653468405E9	39.37648267018842	23.909440973180335
1.0705563605E9	37.1302523073143	23.800342886263394
1.0757658805E9	35.82576628940862	26.52387182334966
1.0809754005E9	43.10377270842611	27.53784374198894
1.0861849205E9	38.91140815276648	24.176917090455753
1.0913944405E9	44.65324636434835	63.771845625390114
1.0966039605E9	44.255275342066064	22.404517367154682
1.1018134805E9	40.39805106804466	32.25897492669284
1.1070230005E9	42.12024102028594	26.262469160942576
1.1122325205E9	36.98957140005221	24.598124316026734
1.1174420405E9	34.16047044641349	23.941078448097176
1.1226515605E9	33.79454729034537	22.581858911396655
1.1278610805E9	30.19519226339471	23.825941970793522
1.1330706005E9	22.625923693545662	33.52135185391691
1.1382801205E9	32.75438236152275	25.572726564288732
