#Position (bp)	insert size	chromosomes
5.496043605E8	119313.22260457903	722372.1700253274
5.548138805E8	126247.6156076975	0.0
5.600234005E8	92607.87454491889	0.0
5.652329205E8	87707.92497652012	722372.1700253274
5.704424405E8	86839.4468620522	0.0
5.756519605E8	79084.76137779918	0.0
5.808614805E8	59162.08103925652	722372.1700253274
5.860710005E8	59466.67765985174	0.0
5.912805205E8	45667.94289315825	0.0
5.964900405E8	67229.36665421068	722372.1700253274
6.016995605E8	83331.11074731944	0.0
6.069090805E8	65569.24043140646	0.0
6.121186005E8	88453.35253194702	722372.1700253274
6.173281205E8	87912.18196669593	0.0
6.225376405E8	112866.58665658272	0.0
6.277471605E8	74280.36657060937	722372.1700253274
6.329566805E8	74432.91942048927	0.0
6.381662005E8	49220.87547054518	0.0
6.433757205E8	45885.39317372859	722372.1700253274
6.485852405E8	45678.79059306399	0.0
6.537947605E8	41287.35506158156	0.0
6.590042805E8	47542.85853844512	722372.1700253274
6.642138005E8	48861.5314680711	0.0
6.694233205E8	41740.61963737449	0.0
6.746328405E8	35145.4360487662	722372.1700253274
6.798423605E8	24335.41916639353	0.0
6.850518805E8	20957.05050795	0.0
6.902614005E8	20626.374620468643	722372.1700253274
6.954709205E8	22073.14484075216	0.0
7.006804405E8	17972.262004377735	0.0
7.058899605E8	18621.936851724404	722372.1700253274
7.110994805E8	22258.35378220148	0.0
7.163090005E8	15361.600584619871	0.0
7.215185205E8	13396.953558680923	722372.1700253274
7.267280405E8	15561.27394976998	0.0
7.319375605E8	13113.541799442584	0.0
7.371470805E8	11705.234864376844	722372.1700253274
7.423566005E8	11712.573731154167	0.0
7.475661205E8	12000.847152587443	0.0
7.527756405E8	11293.04339399097	722372.1700253274
7.579851605E8	7707.006457899748	0.0
7.631946805E8	6644.543992100296	0.0
7.684042005E8	5561.915158897535	722372.1700253274
7.736137205E8	4067.7021822249417	0.0
7.788232405E8	2401.465856944872	0.0
7.840327605E8	1447.806282433251	722372.1700253274
7.892422805E8	644.9166732723803	0.0
7.93090927E8	298.621601062112	0.0
7.95695687E8	82614.55292797102	722372.1700253274
7.996613205E8	164273.71069951658	0.0
8.048708405E8	93419.90082564206	0.0
8.100803605E8	168635.81443013958	722372.1700253274
8.152898805E8	73234.03877839743	0.0
8.204994005E8	86645.9657490981	0.0
8.257089205E8	76490.4738095182	722372.1700253274
8.309184405E8	47398.69216376461	0.0
8.361279605E8	52084.82092371227	0.0
8.413374805E8	45913.89376745551	722372.1700253274
8.465470005E8	34475.43039220726	0.0
8.517565205E8	33178.43192289435	0.0
8.569660405E8	46995.29482960808	722372.1700253274
8.621755605E8	32888.284303659864	0.0
8.673850805E8	32464.996629819827	0.0
8.725946005E8	26648.245777830034	722372.1700253274
8.778041205E8	30026.70342470665	0.0
8.830136405E8	25976.948313112847	0.0
8.882231605E8	24360.75000675487	722372.1700253274
8.934326805E8	20519.16982463384	0.0
8.986422005E8	19143.420922419355	0.0
9.038517205E8	13405.537197341266	722372.1700253274
9.090612405E8	12384.355585364197	0.0
9.142707605E8	14586.748000847723	0.0
9.194802805E8	12940.923858544818	722372.1700253274
9.246898005E8	7027.741191083784	0.0
9.298993205E8	7899.734025425759	0.0
9.351088405E8	9868.651891424513	722372.1700253274
9.403183605E8	8352.280859914024	0.0
9.455278805E8	4649.659771435272	0.0
