#Position (bp)	mapping quality
5.183472405E8	32.029825813027294
5.235567605E8	33.096364132972425
5.287662805E8	38.269913178058296
5.339758005E8	36.21346996575378
5.391853205E8	33.62376138809064
5.443948405E8	36.447316908103026
5.496043605E8	33.493330882051396
5.548138805E8	37.58682147883239
5.600234005E8	37.457634665729074
5.652329205E8	36.48716758947902
5.704424405E8	37.573498690156825
5.756519605E8	38.84834111553548
5.808614805E8	33.985029639037634
5.860710005E8	37.21893860073645
5.912805205E8	29.243612277531966
5.964900405E8	35.700273656811085
6.016995605E8	37.31445823409539
6.069090805E8	36.715222578198684
6.121186005E8	36.15410983840923
6.173281205E8	34.816645215840346
6.225376405E8	32.92390722585416
6.277471605E8	33.0451854093985
6.329566805E8	35.628038649115496
6.381662005E8	35.09666974210326
6.433757205E8	34.894379964830634
6.485852405E8	36.098346875064614
6.537947605E8	37.395033388002574
6.590042805E8	36.29518847458551
6.642138005E8	35.45418075602508
6.694233205E8	36.559833071705405
6.746328405E8	35.877490924054435
6.798423605E8	33.48207335539205
6.850518805E8	36.73556008620494
6.902614005E8	35.5234623609713
6.954709205E8	34.92177459449333
7.006804405E8	37.62789924648617
7.058899605E8	35.32784935053863
7.110994805E8	37.00683713254401
7.163090005E8	38.5061628207451
7.215185205E8	38.05491543848024
7.267280405E8	37.236742474490136
7.319375605E8	33.82106152789383
7.371470805E8	36.84999310677234
7.423566005E8	32.52917093598899
7.475661205E8	35.588102760492866
7.527756405E8	34.718032782390104
7.579851605E8	36.52945637005806
7.631946805E8	38.534078800984986
7.684042005E8	36.88056089777241
7.736137205E8	38.08716390950091
7.788232405E8	37.099156206169035
7.840327605E8	36.74654716684306
7.892422805E8	41.26242262452378
7.93090927E8	39.21937674485798
7.95695687E8	41.09751700462374
7.996613205E8	36.55026009759647
8.048708405E8	38.43581522407109
8.100803605E8	39.218121231826345
8.152898805E8	36.47555976835965
8.204994005E8	36.16323583404228
8.257089205E8	32.09271006945051
8.309184405E8	40.501938672565885
8.361279605E8	38.66178124552029
8.413374805E8	38.12787522690867
8.465470005E8	32.80940713375162
8.517565205E8	37.39963912895678
8.569660405E8	28.20792238364303
8.621755605E8	36.56691250841867
8.673850805E8	34.5804841363463
8.725946005E8	35.24635157763567
8.778041205E8	31.906667899557192
8.830136405E8	34.00353311021651
8.882231605E8	31.971757529999906
8.934326805E8	35.425999817728794
8.986422005E8	36.61816343624657
9.038517205E8	34.99053746755426
9.090612405E8	37.185272937810375
9.142707605E8	32.965960997238874
9.194802805E8	30.519588084816352
9.246898005E8	38.11863396305797
9.298993205E8	38.45255330101884
9.351088405E8	33.170339269546325
9.403183605E8	32.64293419749761
9.455278805E8	39.35112313673272
9.507374005E8	41.8191847265291
9.559469205E8	40.93738124709237
9.611564405E8	39.21447608028359
9.663659605E8	39.94825766701363
9.715754805E8	38.83018140580867
9.767850005E8	38.77055657423294
9.819945205E8	40.72174218372477
9.872040405E8	39.29107790732389
9.924135605E8	39.378923797605225
9.976230805E8	34.70608485149193
1.0028326005E9	36.836440533811256
1.0080421205E9	32.03607238614374
1.0132516405E9	37.79636935337543
1.015976029E9	19.28912444043609
1.018580789E9	38.33671684330935
1.0236706805E9	38.923275150102036
1.0288802005E9	37.93965284414373
1.0340897205E9	35.68964097668468
1.0392992405E9	37.60349771140879
1.0445087605E9	35.88463652165938
1.0497182805E9	37.66909054793395
1.0549278005E9	34.70388219901751
1.0601373205E9	36.67905807507284
1.0653468405E9	36.60367671775791
1.0705563605E9	35.999214010898946
1.0757658805E9	36.84903742074171
1.0809754005E9	38.04625183388085
1.0861849205E9	33.18562131172103
1.0913944405E9	36.554270884239486
1.0966039605E9	38.40187687110417
1.1018134805E9	31.36368007927642
1.1070230005E9	37.74490422342098
1.1122325205E9	35.95693722873205
1.1174420405E9	34.051131641514516
1.1226515605E9	35.86540141395498
1.1278610805E9	34.05961409218308
1.1330706005E9	29.62910370848746
1.1382801205E9	35.47078433514951
1.1434896405E9	36.47656285708221
1.1486991605E9	38.05411736186912
1.1539086805E9	39.073114555693635
1.1591182005E9	35.96598026547192
1.1643277205E9	39.01364407921615
1.1695372405E9	39.98167399256697
1.1747467605E9	41.67231757912869
1.1799562805E9	39.49131805152187
1.1851658005E9	42.589133420357314
1.1903753205E9	44.80482636518507
1.194137444E9	38.93799138212018
1.196742204E9	15.133890145660713
1.199487392E9	37.66884306592679
1.202092152E9	5.615299268216772
1.2043644265E9	3.053078589814243
1.2069691865E9	14.387503726157751
1.2088051865E9	1.1754713322206936
1.2105562365E9	16.073116100740126
1.2129644505E9	6.9553117401787405
1.213948815E9	8.57905553990976
1.2148954695E9	3.0776741594069867
1.216457445E9	5.190948399134026
1.217911186E9	36.84680233024552
1.218823316E9	2.126015196844494
1.219507816E9	1.1547086828806545
1.2206494515E9	3.6577868852459017
1.2219224515E9	1.7496359136156547
1.223072692E9	1.3453663896282828
1.2239243165E9	0.3634933948416859
1.2244053165E9	3.3576477369251303
1.2250439325E9	3.709382907127392
1.2259315325E9	2.9500784014933505
1.2267506325E9	4.487082058207303
1.2274637485E9	0.23249322279078202
1.2280810585E9	7.7880581602334695
1.2286817535E9	23.56362509255735
1.2292114875E9	3.6311240857397484
1.2294984875E9	1.1052728814840318
1.2297502545E9	3.01910193923053
1.2301495315E9	0.024838231894701263
1.2305316745E9	4.381142636047184
1.2308896405E9	3.6718596334376397
1.2312339075E9	8.323913452061044
1.2315715745E9	1.0174522065922966
1.2319060745E9	3.2009273657209376
1.2322360745E9	4.59688350155342
1.2325600745E9	2.466231532216802
1.2328796705E9	0.07274091623266965
1.2331988665E9	2.7038209140507985
1.233510837E9	0.19774400307820048
1.2338121355E9	6.381837344252138
1.2341094015E9	0.44913341808619656
1.2343962395E9	5.35969543177859
1.23459549E9	13.989471220233144
1.2347282085E9	3.294349981834853
1.23493034E9	0.022827821685928854
1.2351851035E9	3.349489095112064
1.2354287035E9	1.9162871440353269
1.235663826E9	7.815685841756081
1.235894999E9	2.022061342162592
1.236123212E9	0.07255874526062596
1.2363451615E9	0.03969093445292195
1.236559101E9	1.352675396963109
1.2367647535E9	1.0912000044813186
1.236962959E9	3.219681010508085
1.2371580895E9	0.056574033824165745
1.237347526E9	0.2722356677716075
1.237531526E9	0.05848602710473187
1.2377105145E9	5.70364419705127
1.237882035E9	0.19984121886658174
1.2380449375E9	0.12466221611510925
1.238200508E9	1.503183358786044
1.2383546965E9	2.4121331075400794
1.2385080855E9	4.841808624568177
1.238659708E9	1.2944991287147365
1.2388079415E9	1.1996803482639196
1.2389537875E9	0.03298273860477787
1.2390981595E9	2.2843220148102974
1.239241155E9	0.09088240012749962
1.23938377E9	0.0216751262542822
1.239523837E9	1.5165288148915645
1.2396614805E9	1.9044394358153243
1.2397979815E9	0.01672531202467659
1.2398658115E9	0.0
1.2399331055E9	0.8503170471614819
1.240067526E9	1.1386410738453256
1.2402015135E9	3.110010096108307
1.2403343185E9	0.28296722405650954
1.240463255E9	2.3005884234628593
1.2405882285E9	1.2089687541004348
1.2407117605E9	1.7777457791551343
1.2408344905E9	0.01878078454555804
1.2409547685E9	0.033416601415835065
1.241072398E9	3.3288835334008584
1.241189119E9	0.010787215337617876
1.2413052295E9	0.012250165541607278
1.241419816E9	0.02381909903160105
1.241532907E9	0.01159566959527094
1.2416443825E9	1.0181221114084165
1.241754342E9	0.12014117010747973
1.241862925E9	3.463704526303126E-4
1.2419699985E9	0.01832196707739991
1.2420765565E9	0.004498850133346234
1.242181084E9	0.3075442356443446
1.2422839165E9	0.05057603868544019
1.2423864675E9	0.0057938196279494975
1.242487262E9	0.07276417458589479
1.2425862765E9	0.02264113688344312
1.242684779E9	0.00526624815179689
1.2427829085E9	0.39447024654061
1.242880977E9	1.017245226201636
